,peakBase,scanNumber,absIntensityUnSub,TIC*IT,ftRes,peakNoiseUnSub,integTime,peakRes,massUnSub,retTime,tic,countsUnSub,sumAbsIntensity,absIntensity15N,peakNoise15N,mass15N,counts15N,absIntensity13C,peakNoise13C,mass13C,counts13C,15N/UnSub,13C/UnSub,15N/13C
373,8054.0,418.0,5640000000.0,1384981.0,120000.0,784972.7,0.06,172607.0,138.016,6.89,23100000000.0,31613.83829017239,,21232220.0,786642.1,139.013,118.76019348570335,248000000.0,786652.7,139.0193,1387.1432717385958,0.003756588883502376,0.043877724020933234,0.0856149439681552
374,5377.09,419.0,5680000000.0,1376001.0,120000.0,775963.5,0.06,171107.0,138.016,6.9,22900000000.0,32207.700491066917,,12496844.0,777182.1,139.0129,70.750617648039,232000000.0,777189.9,139.0193,1313.449904585739,0.002196698819515609,0.04078061719898431,0.05386624750667875
375,3253.58,420.0,6280000000.0,1549517.0,120000.0,795843.5,0.06,170307.0,138.016,6.9,25800000000.0,34720.394147844396,,22715876.0,795801.6,139.0129,125.59644815994339,280000000.0,795801.4,139.0192,1548.12494675179,0.0036173681561659636,0.044588345977861106,0.08112810818239478
376,5773.57,421.0,5750000000.0,1428303.0,120000.0,801028.2,0.06,171607.0,138.0159,6.91,23800000000.0,31584.40614200599,,19753624.0,801570.6,139.013,108.43205277239461,270000000.0,801574.0,139.0193,1482.0839997305304,0.0034330882235010375,0.046924548559405026,0.07316188069779413
377,6829.62,422.0,6370000000.0,1575956.0,120000.0,817611.0,0.06,173307.0,138.016,6.91,26300000000.0,34280.36070943272,6393522263.0,23423070.0,818488.5,139.013,125.9168674941676,271000000.0,818494.0,139.0193,1456.821919281021,0.0036731488493211744,0.042497275090811866,0.08643257341728548
378,5409.48,423.0,6660000000.0,1641302.0,120000.0,815470.5,0.06,172407.0,138.016,6.92,27400000000.0,35935.08287546883,,20973770.0,818088.6,139.013,112.8051264862999,275000000.0,818105.3,139.0193,1479.02721080037,0.0031391363942924588,0.0411583080502656,0.07626981144265481
379,8178.06,424.0,6880000000.0,1707062.0,120000.0,840837.9,0.06,169607.0,138.016,6.92,28500000000.0,36002.183060492396,,21979636.0,842142.4,139.013,114.83853372066292,285000000.0,842150.6,139.0193,1489.044833548774,0.0031897658408021074,0.04135984840271541,0.0771222807623417
380,4987.88,425.0,6830000000.0,1709295.0,120000.0,828935.2,0.06,172407.0,138.016,6.92,28500000000.0,36253.73853106974,,20476058.0,827843.4,139.013,108.83055321815696,288000000.0,827836.5,139.0192,1530.7370477141321,0.003001912564821096,0.042222874377556355,0.0710968310205041
381,9619.2,426.0,7270000000.0,1807677.0,120000.0,835288.9,0.06,172403.0,138.016,6.93,30100000000.0,38295.732171228425,,26441704.0,838595.1,139.013,138.7362001041981,313000000.0,838616.1,139.0193,1642.2293824313654,0.003622758783769398,0.04288283026130969,0.08448040303529059
382,10041.13,427.0,7600000000.0,1898707.0,120000.0,879581.6,0.06,174107.0,138.016,6.93,31600000000.0,38018.0758669804,,25826382.0,881545.8,139.013,128.90547581305475,313000000.0,881558.3,139.0193,1562.23360383539,0.003390636503122248,0.04109186402019433,0.08251357255187892
383,7083.51,428.0,6920000000.0,1701634.0,120000.0,824975.8,0.06,170807.0,138.016,6.94,28400000000.0,36907.749293979294,,26329606.0,825657.1,139.013,140.3128083074681,300000000.0,825661.4,139.0193,1598.7183123735713,0.0038017167394804297,0.04331660269065412,0.08776581041293614
384,12248.84,429.0,7570000000.0,1876121.0,120000.0,899496.1,0.06,170307.0,138.016,6.94,31300000000.0,37029.621362449485,,27521830.0,901384.7,139.013,134.34447245443596,299000000.0,901396.7,139.0193,1459.51277611733,0.0036280271715300404,0.03941473670042367,0.09204747957864812
385,11111.12,430.0,7770000000.0,1925854.0,120000.0,874099.1,0.06,169707.0,138.016,6.95,32100000000.0,39112.269993184986,,20526766.0,877291.1,139.013,102.95074280361445,332000000.0,877311.3,139.0193,1665.0874096800076,0.002632185317332715,0.042571996204008006,0.061829032040665824
386,7240.77,431.0,6800000000.0,1714604.0,120000.0,840074.0,0.06,173107.0,138.016,6.95,28600000000.0,35615.91002697382,,19267410.0,841551.4,139.013,100.73847420371472,295000000.0,841560.9,139.0193,1542.372037484156,0.0028284683482022537,0.04330570344309708,0.06531399153736898
387,7414.49,432.0,6600000000.0,1631113.0,120000.0,837934.9,0.06,174603.0,138.016,6.96,27200000000.0,34656.63024657405,,26785254.0,838251.9,139.013,140.59630237640977,289000000.0,838253.9,139.0193,1516.9628199761432,0.004056837072043618,0.04377121518114419,0.09268276092529472
388,11268.6,433.0,6930000000.0,1734867.0,120000.0,873348.4,0.06,169907.0,138.016,6.96,28900000000.0,34913.90148536369,,30352210.0,876419.4,139.013,152.38106778558304,283000000.0,876438.9,139.0193,1420.7493528641871,0.00436448123248165,0.040692941562540115,0.10725401174977661
389,9118.33,434.0,6810000000.0,1686075.0,120000.0,841018.1,0.06,171107.0,138.016,6.96,28100000000.0,35628.24628863517,,28059412.0,843224.4,139.013,146.4158447027861,283000000.0,843238.4,139.0193,1476.6879686693587,0.004109543970158598,0.04144711352633705,0.09915151190316882
390,5525.6,435.0,6270000000.0,1551521.0,120000.0,821820.3,0.06,169707.0,138.016,6.97,25900000000.0,33569.38250369333,,25255896.0,822915.5,139.013,135.0393113266186,263000000.0,822922.4,139.0193,1406.2079243437777,0.004022692741272839,0.041889597587595355,0.0960308280083375
391,11542.87,436.0,6660000000.0,1636060.0,120000.0,840538.7,0.06,170407.0,138.016,6.97,27300000000.0,34863.35608342603,,23752150.0,841901.3,139.013,124.13505003496253,260000000.0,841909.9,139.0193,1358.8152366423058,0.003560616761562324,0.038975457021141,0.09135535625999153
392,2708.74,437.0,5770000000.0,1448666.0,120000.0,809802.4,0.06,171507.0,138.016,6.98,24100000000.0,31350.857937689492,,20123470.0,811326.7,139.013,109.13392595116125,248000000.0,811336.4,139.0193,1344.9415063837885,0.0034810506994120316,0.0428996714876795,0.0811439943173403
393,7332.83,438.0,6830000000.0,1701969.0,120000.0,824007.5,0.06,170803.0,138.016,6.98,28400000000.0,36470.5418336605,,24080396.0,826763.4,139.013,128.15485349254698,298000000.0,826780.9,139.0193,1585.909882533571,0.0035139278729954706,0.04348468113708842,0.08080840841209284
394,7465.06,439.0,6700000000.0,1646419.0,120000.0,829526.8,0.06,171607.0,138.016,6.99,27400000000.0,35538.33342093348,,24147402.0,831114.2,139.013,127.838711936338,272000000.0,831124.3,139.0193,1439.9771490257235,0.0035972061610811483,0.040518983599200524,0.08877829208806029
395,11721.26,440.0,7050000000.0,1768932.0,120000.0,869714.1,0.06,174007.0,138.016,6.99,29500000000.0,35666.893292864865,,23253954.0,872301.7,139.013,117.29588237647596,296000000.0,872318.2,139.0193,1493.03316152294,0.003288648703248312,0.04186047686473495,0.07856214141742876
396,10091.22,441.0,6360000000.0,1559647.0,120000.0,828846.8,0.06,169507.0,138.016,6.99,26000000000.0,33762.57228718262,,21602118.0,832204.7,139.013,114.21386973661649,256000000.0,832226.1,139.0193,1353.4783396002601,0.0033828545042456915,0.040088128596590514,0.08438544333878939
397,7928.78,442.0,6940000000.0,1707991.0,120000.0,850152.4,0.06,175207.0,138.016,7.0,28500000000.0,35918.26594855228,,24464246.0,853262.9,139.013,126.15418108533726,282000000.0,853282.6,139.0193,1454.1489536995132,0.0035122570022181714,0.04048494311452482,0.08675464832154044
398,5247.51,443.0,5800000000.0,1436053.0,120000.0,783500.3,0.06,171207.0,138.016,7.0,23900000000.0,32571.780763836337,,16142061.0,783914.1,139.013,90.60312654154326,230000000.0,783916.7,139.0193,1290.9534903389608,0.002781644859962269,0.039634108423457014,0.0701831066878745
399,6963.2,444.0,5320000000.0,1295683.0,120000.0,763430.8,0.06,170407.0,138.016,7.01,21600000000.0,30661.58714057646,,18229416.0,765614.1,139.013,104.76482917438433,213000000.0,765627.8,139.0193,1224.0934824989374,0.0034168103788646434,0.039922704486455476,0.08558564412949178
400,1990.61,445.0,4480000000.0,1104907.0,120000.0,724033.3,0.06,169907.0,138.016,7.01,18400000000.0,27225.26712514466,4494192453.0,13973917.0,725293.6,139.0129,84.77289031641807,167000000.0,725301.6,139.0193,1013.0957935292023,0.0031137578899317277,0.037211601593195365,0.08367707264986735
401,857.53,446.0,3730000000.0,910503.0,120000.0,678164.2,0.06,173607.0,138.016,7.02,15200000000.0,24200.628697297794,3740800309.0,9739767.0,678428.6,139.013,63.16799557094145,146000000.0,678430.3,139.0193,946.8916703749818,0.0026101799404076925,0.03912673849174465,0.06671090003983886
402,1674.91,447.0,2980000000.0,711066.0,120000.0,653652.9,0.06,172107.0,138.016,7.02,11900000000.0,20059.575961492716,2993598932.0,10118557.0,653680.4,139.0129,68.10920260114882,110000000.0,653680.6,139.0193,740.4227691627992,0.003395346079692531,0.03691118748393031,0.0919869099624804
403,-1138.15,448.0,2950000000.0,714938.0,120000.0,647267.9,0.06,170407.0,138.016,7.03,11900000000.0,20053.520342967728,2969007545.0,11390149.0,647315.2,139.013,77.42233706237704,111000000.0,647315.5,139.0193,754.5007032891998,0.0038607853253818914,0.03762435175396945,0.10261400251167306
404,54.1,449.0,2430000000.0,578827.0,120000.0,620274.5,0.06,170707.0,138.016,7.03,9650000000.0,17237.529513142974,2451754774.0,7316989.0,619877.6,139.013,51.93727213243389,93806504.0,619875.1,139.0193,665.8577148848212,0.003013034558857965,0.03862837272459081,0.07800055623207414
405,-969.84,450.0,2220000000.0,528899.0,120000.0,596306.4,0.06,171807.0,138.016,7.03,8810000000.0,16380.840453833802,2249685077.0,7016003.0,598265.2,139.013,51.599881122953505,81697088.0,598277.6,139.0193,600.8367807853746,0.003150014266262936,0.036679240145138806,0.08588003060582529
406,-1703.44,451.0,2040000000.0,478965.0,120000.0,576689.3,0.06,174607.0,138.016,7.04,7980000000.0,15564.707026816694,2081660717.0,5439245.0,577677.9,139.013,41.42910435036549,81614440.0,577684.1,139.0193,621.6261378840097,0.0026617336438769196,0.0399381843045937,0.06664633583682386
407,2967.73,452.0,1780000000.0,419051.0,120000.0,574543.3,0.06,173907.0,138.016,7.04,6980000000.0,13631.696688482836,1843690826.0,5433790.0,575410.4,139.013,41.55064976232617,68212072.0,575415.9,139.0193,521.5933671627774,0.0030480908365157163,0.03826327559088531,0.07966100103676961
408,-2062.7,453.0,1750000000.0,413940.0,120000.0,576136.4,0.06,172007.0,138.0159,7.05,6900000000.0,13364.890675194278,1823460921.0,4621449.0,574682.6,139.013,35.3836632603806,63923144.0,574673.3,139.0193,489.4290958010403,0.0026475086194347975,0.036620508741567075,0.07229579026655282
409,-2476.05,454.0,1680000000.0,400112.0,120000.0,563245.8,0.06,169407.0,138.016,7.05,6670000000.0,13123.932748366698,1773277582.0,6874334.0,562111.9,139.013,53.80969447542384,67962392.0,562104.7,139.0193,531.9907924626854,0.004100119644557046,0.040535927961753135,0.10114779285244516
410,-844.78,455.0,1540000000.0,362053.0,120000.0,540230.1,0.06,171907.0,138.016,7.06,6030000000.0,12542.803520203708,1656161881.0,5161881.0,540543.5,139.013,42.01748129428992,58451144.0,540545.4,139.0193,475.7880348255669,0.0033499274087016484,0.03793314900127206,0.08831134500827525
411,-4048.7,456.0,1380000000.0,332275.0,120000.0,517653.4,0.06,174607.0,138.016,7.06,5540000000.0,11729.85630926021,1508253904.0,3253904.0,518938.2,139.013,27.589369215833408,58659016.0,518946.2,139.0193,497.35342584645576,0.0023520636986876643,0.042400640957026635,0.05547236186998915
412,-2290.51,457.0,1300000000.0,299400.0,120000.0,542914.0,0.06,169807.0,138.016,7.06,4990000000.0,10535.7386252703,1448601676.0,3601676.0,541377.1,139.013,29.272339742482647,49612516.0,541367.5,139.0193,403.2289902884824,0.002778385150166123,0.038272493712147054,0.07259482935872323
413,-4000.75,458.0,1250000000.0,291266.0,120000.0,507066.1,0.06,169807.0,138.016,7.07,4850000000.0,10846.71209532643,1401908488.0,3908488.0,507982.2,139.013,33.85423190025163,45139584.0,507988.0,139.0193,390.9820105986756,0.003121151516028396,0.03604613150625983,0.08658769708717208
