,peakBase,scanNumber,absIntensityUnSub,TIC*IT,ftRes,peakNoiseUnSub,integTime,peakRes,massUnSub,retTime,tic,countsUnSub,sumAbsIntensity,absIntensity15N,peakNoise15N,mass15N,counts15N,absIntensity13C,peakNoise13C,mass13C,counts13C,15N/UnSub,13C/UnSub,15N/13C
1951,2085.29,1999.0,658000000.0,202138.0,120000.0,356956.4,0.087,164007.0,153.003,13.82,2320000000.0,8110.79448358399,660864845.0,2732216.0,357209.8,154.0,33.65459290310624,26659372.0,357211.4,154.0063,328.3804402659042,0.004149358360789704,0.04048684021405506,0.10248659413409222
1952,-221.82,2000.0,717000000.0,226265.0,120000.0,341882.0,0.091,162107.0,153.003,13.82,2500000000.0,9227.74524543556,719671133.0,2506087.0,342326.3,154.0,32.211322355308376,34021500.0,342329.2,154.0063,437.282592311728,0.0034907034707358743,0.04738780500339742,0.07366248490483178
1953,-1307.79,2001.0,785000000.0,222275.0,120000.0,384484.2,0.082,161407.0,153.003,13.83,2720000000.0,8983.464079928382,786466912.0,1339233.0,384699.2,154.0,15.317487533116784,31694518.0,384700.5,154.0063,362.5050635494365,0.0017050758367632831,0.04035248099442798,0.042254547793448595
1954,765.72,2002.0,843000000.0,215139.0,120000.0,422746.0,0.075,163507.0,153.003,13.83,2890000000.0,8774.062912481728,845573345.0,2450289.0,423815.3,154.0001,25.438608752444757,34923996.0,423822.1,154.0063,362.57095229342696,0.00289929637001537,0.04132303995423192,0.07016173963064039
1955,82.88,2003.0,872000000.0,212565.0,120000.0,425938.7,0.072,163002.0,153.003,13.83,2950000000.0,9007.868972694898,874547718.0,2355781.0,426243.7,153.9999,24.318098777764927,34391700.0,426245.7,154.0063,355.014678153938,0.0026996505889993697,0.0394116165799121,0.06849885448178666
1956,-285.04,2004.0,934000000.0,223643.0,120000.0,458171.3,0.069,163007.0,153.003,13.84,3230000000.0,8969.570987968911,937603094.0,3414304.0,459019.0,154.0001,32.72835677825972,40194176.0,459024.3,154.0063,385.28325058172305,0.0036488207543213616,0.04295447921628718,0.08494622262671567
1957,-5008.91,2005.0,1140000000.0,246981.0,120000.0,474778.7,0.065,164402.0,153.003,13.84,3820000000.0,10564.922141620928,1144147261.0,4059405.0,474947.0,154.0001,37.60710563494453,42911640.0,474948.0,154.0063,397.5408170999773,0.0035596197615872485,0.037628371678561603,0.09459935688940023
1958,-5504.55,2006.0,1200000000.0,257862.0,120000.0,529282.4,0.06,161507.0,153.003,13.85,4300000000.0,9975.77096839041,1202337921.0,2234751.0,529418.3,153.9999,18.573034592872972,55787720.0,529419.1,154.0063,463.6515154062255,0.0018618144554164448,0.04647776265868257,0.04005817726401761
1959,-3167.86,2007.0,1370000000.0,280929.0,120000.0,542529.1,0.06,162707.0,153.003,13.85,4680000000.0,11110.924741179784,1374094776.0,3877304.0,543012.5,154.0,31.41757804838747,57628376.0,543015.5,154.0063,466.9569365883663,0.0028276294530145,0.04202682922130779,0.06728153195009247
1960,-272.08,2008.0,1430000000.0,292034.0,120000.0,539045.9,0.06,162802.0,153.003,13.86,4870000000.0,11672.475386604368,1436505598.0,6384682.0,540350.0,154.0,51.989637827334136,56396156.0,540358.3,154.0063,459.2195334095914,0.004454037049159151,0.03934208624989721,0.11321303656515641
1961,-740.13,2009.0,1470000000.0,300950.0,120000.0,548147.6,0.06,164207.0,153.003,13.86,5020000000.0,11799.741529471261,1475954584.0,5872876.0,549076.4,154.0,47.06203799689806,60133756.0,549082.3,154.0063,481.87407680050876,0.003988395667765689,0.04083768068961263,0.09766459799907704
1962,-3451.92,2010.0,1540000000.0,321242.0,120000.0,539409.3,0.06,163102.0,153.003,13.87,5350000000.0,12561.889459451293,1549214159.0,9090345.0,540181.3,154.0,74.04461798288834,58669088.0,540186.1,154.0063,477.8797292266499,0.005894385412473024,0.038042026302588065,0.15494404439944404
1963,-706.75,2011.0,1500000000.0,315291.0,120000.0,523042.3,0.06,164107.0,153.003,13.87,5250000000.0,12618.482291011647,1505607520.0,5444978.0,523018.4,154.0001,45.80699875950827,64240136.0,523018.3,154.0063,540.4334769930613,0.0036301512101924766,0.04282872254597694,0.08475973585939864
1964,-782.46,2012.0,1580000000.0,323313.0,120000.0,545791.3,0.06,164002.0,153.003,13.87,5390000000.0,12737.469431997175,1585151655.0,5008988.0,546751.8,154.0,40.30996733801334,59959720.0,546757.9,154.0063,482.52209615992746,0.0031646762768083774,0.03788210042316626,0.08354014802392173
1965,1241.2,2013.0,1620000000.0,337134.0,120000.0,548515.1,0.06,164307.0,153.003,13.88,5620000000.0,12995.084365043007,1625066330.0,4864166.0,549629.9,154.0002,38.939530764246996,65077712.0,549636.8,154.0063,520.9657228191417,0.0029964815672143675,0.04008944522288352,0.07474489982475341
1966,2785.22,2014.0,1550000000.0,316841.0,120000.0,569247.2,0.06,164802.0,153.003,13.88,5280000000.0,11980.735258776856,1555000765.0,4860120.0,570329.3,153.9999,37.49505417308913,58040908.0,570336.3,154.0063,447.77089447050804,0.0031296121117125072,0.03737424163032729,0.08373714021190964
1967,-5553.91,2015.0,1430000000.0,300261.0,120000.0,520692.0,0.06,164907.0,153.003,13.89,5000000000.0,12083.919092284883,1434450471.0,4274220.0,519610.7,154.0,36.19357338099466,59202304.0,519603.8,154.0063,501.3245430460671,0.002995185014446419,0.041486916555585306,0.07219589362428003
1968,-2883.68,2016.0,1460000000.0,304335.0,120000.0,522041.3,0.06,161407.0,153.003,13.89,5070000000.0,12305.539810739114,1465615128.0,5444087.0,521977.6,154.0001,45.89082520016185,59296016.0,521977.2,154.0063,499.83499355910567,0.003729281763008289,0.040618697045935105,0.09181194952636954
1969,-6980.4,2017.0,1320000000.0,275548.0,120000.0,503718.3,0.06,166007.0,153.003,13.9,4590000000.0,11530.254112268703,1324152170.0,3988069.0,503285.1,154.0,34.865931059751226,53730028.0,503282.3,154.0063,469.7405873403456,0.0030238649313593467,0.040739829561997315,0.07422379926154749
1970,-1511.13,2018.0,1260000000.0,261053.0,120000.0,514444.8,0.06,163302.0,153.003,13.9,4350000000.0,10776.666417854743,1264717023.0,4595612.0,514861.1,153.9999,39.27407372590394,50139096.0,514863.8,154.0063,428.48617906327854,0.0036443620135476022,0.039760549547433716,0.0916577375068706
1971,-2071.72,2019.0,1250000000.0,262659.0,120000.0,517520.7,0.06,163407.0,153.003,13.9,4380000000.0,10627.594219902701,1254609458.0,4446397.0,518942.2,154.0,37.7000498321393,52888356.0,518951.2,154.0063,448.421289708936,0.0035473738507570208,0.042194054499103885,0.08407283663228808
1972,-13.14,2020.0,1160000000.0,241339.0,120000.0,525170.8,0.06,165407.0,153.003,13.91,4020000000.0,9718.74293087125,1164453921.0,4219317.0,525599.3,154.0,35.32157443893095,51644440.0,525601.9,154.0063,432.3339318217838,0.003634376862334036,0.04448455267280401,0.08169975067673192
1973,-499.47,2021.0,1170000000.0,241289.0,120000.0,539907.7,0.06,165602.0,153.003,13.91,4020000000.0,9534.96310573085,1174438864.0,4212963.0,540316.2,154.0,34.307757568623714,46177580.0,540318.8,154.0063,376.03976023044174,0.003598100715041418,0.03943798796708804,0.09123438847955732
1974,-810.7,2022.0,1160000000.0,242036.0,120000.0,531331.3,0.06,164602.0,153.003,13.92,4030000000.0,9606.059345647433,1163576052.0,3245385.0,532881.3,153.9999,26.797138499699653,43788632.0,532891.1,154.0063,361.5560117254727,0.0027896078439117295,0.03763832792572701,0.0741161469610594
1975,-570.66,2023.0,1190000000.0,248305.0,120000.0,526202.2,0.06,166102.0,153.003,13.92,4140000000.0,9950.547527167315,1193779997.0,3410871.0,526785.2,154.0,28.4894723693832,46851084.0,526788.9,154.0063,391.3232978143617,0.0028631060041269386,0.03932681058463947,0.0728029037077629
1976,-951.49,2024.0,1170000000.0,241241.0,120000.0,499172.6,0.06,165507.0,153.003,13.93,4020000000.0,10313.066061718935,1176324668.0,5831860.0,500778.7,153.9999,51.240565942600995,48848368.0,500789.0,154.0063,429.1883791377207,0.004968509426386865,0.0416159827319273,0.11938945328750059
1977,-6137.93,2025.0,1250000000.0,259399.0,120000.0,502765.4,0.06,162207.0,153.003,13.93,4320000000.0,10939.495836427886,1255356269.0,4623997.0,502565.4,154.0,40.48346105800359,50580920.0,502564.1,154.0063,442.84111817776085,0.0037006697258566536,0.040480943984925306,0.09141757482816473
1978,-1331.95,2026.0,1190000000.0,248482.0,120000.0,518315.9,0.06,163107.0,153.003,13.94,4140000000.0,10101.94748029146,1195995851.0,5006469.0,518702.3,154.0,42.46841319192146,50944792.0,518704.7,154.0063,432.1477804230423,0.004203982774091414,0.04277866037871879,0.09827289440280791
